Filename,best frq of site,S- top,S-bttm,G- top,G- bottom,I - top,I - bttm,,,,,,,
'1-rb053054020@os.mat',13,1,11,12,13,14,20,,,,,,,
'1-rb067068023@os.mat',9,1,10,11,12,13,18,,,,,,,
'2-gt030031027@os.mat',9,2,12,13,14,15,20,,,,,,,
'2-gt032033029@os.mat',1,3,15,16,17,18,21,,,,,,,
'2-gt034035038@os.mat',6,1,9,10,11,12,19,,,,,,,
'2-gt036037026@os.mat',12,2,12,13,14,15,20,,,,,,,
'2-gt040041020@os.mat',14,1,9,10,11,12,17,,,,,,,
'2-rb011012022@os.mat',8,1,10,11,12,13,20,,,,,,,
'2-rb013014024@os.mat',9,1,12,13,14,15,20,,,,,,,
'2-rb013014025@os.mat',9,1,12,13,14,15,20,,,,,,,
'2-rb015016024@os.mat',12,1,8,9,10,11,16,,,,,,,
'2-rb017018026@os.mat',10,2,10,11,12,13,19,,,,,,,
'2-rb019020019@os.mat',2,1,9,10,11,12,20,,,,,,,
'2-rb021022022@os.mat',11,1,7,8,9,10,16,,,,,,,
'2-rb023024025@os.mat',11,3,13,14,15,16,21,,,,,,,
'2-rb027028025@os.mat',5,1,8,9,10,11,18,,,,,,,
'2-rb029030022@os.mat',12,1,9,10,11,12,19,,,,,,,
'2-rb033034024@os.mat',9,2,11,12,13,14,19,,,,,,,
'2-rb035036020@os.mat',11,2,12,13,14,15,19,,,,,,,
'2-rb037038022@os.mat',13,1,9,10,11,12,20,,,,,,,
'2-rb039040025@os.mat',12,1,9,10,11,12,18,,,,,,,
'2-rb041042025@os.mat',8,1,10,11,12,13,19,,,,,,,
'2-rb043044025@os.mat',9,1,7,8,9,10,16,,,,,,,
'2-rb045046027@os.mat',13,1,13,14,15,16,20,,,,,,,
'2-rb047048025@os.mat',7,2,11,12,13,14,20,,,,,,,
'2-rb049050035@os.mat',1,5,15,16,17,18,22,,,,,,,
'2-rb051052026@os.mat',7,1,11,12,13,14,20,,,,,,,
'2-rb051052035@os.mat',7,1,11,12,13,14,20,,,,,,,
'2-rb053054020@os.mat',10,2,12,13,14,15,18,,,,,,,
